index	smarts
mh590	C(=O)N1CCCC(C1)Cn1ccccc1=O
mh591	c1c[nH]cc1cccc
mh592	CC(=O)N(C)CC1CCCn2c1cccc2=O
mh593	COc1cc(C)cc2oc(=O)ccc12
mh594	NC1CCC(O)CC1
mh595	CC1CCCCC1Cl
mh596	CCCCCCCCCC
mh597	CC(N=CO)C(=O)O
mh598	CC(C)C(=O)O
mh599	COC1:C:C(C):C:C:C:1O
mh600	Ccc1ccccc1[nH]c
mh601	OCC(=O)N1CC2CC(C1)c(cccc=O)nC2
mh602	C(=O)c(cc)ccc
mh603	CCCCNC=O
mh604	CC=CCC1:C:C:C(:C:C:1)OC
mh605	CC1CCC(Cl)CC1
mh606	NC(C(O)=O)Cc(c[nH]1)cc1ccc(O)c
mh607	Oc1ccccc1
mh608	c(c)ccc(c)OC
mh609	c(cc)ccc
mh610	NCCCCC=O
mh611	CC(=O)N1CCCCC1
mh612	cccCl
mh613	CC(=O)N1CC2CC(C1)cn(C2)c(=O)ccc
mh614	c1c[nH]c(ccc)c1c
mh615	CCC(=O)NC
mh616	ClC1CCCC(Cl)C1
mh617	C=C(CC)CCCCCCCO
mh618	OCN1CC2CC(Cn(C2)c(=O)ccc)C1
mh619	CC(O)=NC(Cc1ccccc1)C=O
mh620	COc1ccccc1
mh621	CNCC(N)=O
mh622	N=C(O)N1CC2CC(C1)c(ccc)n(C2)c=O
mh623	c[nH]c1ccc(O)cc1
mh624	Cc1ccccc1
mh625	CCCCCN=C(C)O
mh626	CC1CCC(O)C(O)C1
mh627	O=C(COC1:C:C:C2:C:C:C(=O):O:C:2:C:1)N1CCCCC1
mh628	CCC(C)(C)C
mh629	C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
mh630	CC(C)CC(C)O
mh631	F
mh632	CC1CCCC(N)C1
mh633	O=CC(c1ccccc1)N
mh634	CC1CN(CCCn2c1cccc2=O)C(O)=N
mh635	C:C:C(=O):O:C1:C:C:C:C(O):C:1
mh636	CCCCC=O
mh637	C(Cc1c[nH]c(c)c1cc(O)c)C(=O)O
mh638	Cc(c[nH])c1cc(O)ccc1
mh639	CCN=C(O)COC1:C:C2OC(C)(C)CCC:2:C2:O:C(=O):C:C(C):C:1:2
mh640	O=CC(N)Cc(c[nH]1)c2c1cccc2
mh641	CC1CCCCC1C
mh642	CCCC1:C:C:C(O):C:C:1
mh643	COC1:C:C:C2:C:C:C:O:C:2:C:1
mh644	c1oc(=O)c(C)c(C)c1
mh645	ccc(Cl)c
mh646	c(c[nH])c1cc(O)ccc1
mh647	CCCCC(C)C
mh648	CCNCC=O
mh649	CN=C(O)N1CC2CC(C1)C1:C:C:C:C(=O):N:1C2
mh650	CC1=CC(=O)CCC1C
mh651	C(O)=NC(Cc1ccccc1)C(=O)O
mh652	CCN1CC2CC(c(ccc3)n(C2)c3=O)C1
mh653	Cc(cc)cccCl
mh654	OCN1CC2CC(CCCCC(NC2)=O)C1
mh655	c1cccc(Cl)c1
mh656	cc(OC)c(c)OC
mh657	CC1:C:C:C(O):C:C:1O
mh658	Cc(c[nH])c1ccccc1
mh659	c1cc(C)cc2oc(=O)ccc12
mh660	CC=CC1:C:C:C:C:C:1
mh661	CCN=C(O)COC1:C:C:C2CCC(C)(C)OC:2:C:1
mh662	CC1CCC2C(C)CCCC2C1
mh663	CC1=CC(=O)C=CC1C
mh664	C(Cc1c[nH]c2ccc(O)cc12)C(=O)O
mh665	OCCN1CC2CC(c(ccc3)n(C2)c3=O)C1
mh666	cccc(cc)OC
mh667	Cc(c)c1cc(O)ccc1[nH]
mh668	c(cc)cccCl
mh669	O=CCNC=O
mh670	C(=O)COC(C)=O
mh671	NC(CO)Cc(c[nH]1)c2c1ccc(O)c2
mh672	CCCC(C)C1CCC=C(CC)C1
mh673	CC(N)C(=O)O
mh674	C(=O)N1CCCCC1
mh675	O=CC1CCC(CN)CC1
mh676	COc1cc2OC(C)(C)CCc2c2oc(=O)cc(C)c12
mh677	cccccc
mh678	CF
mh679	O=C(O)C1:C:C:C:C:C:1
mh680	CC(N1CCC(CO)CC1)=O
mh681	OCCCc(c[nH]1)c2c1cccc2
mh682	OCC(=O)N1CC2CC(C1)ccccc(=O)nC2
mh683	O:C:C:C:C1:C:C:C2:O:C:C:C:2:C:1
mh684	C~C~Cl
mh685	N1CCNCC1
mh686	Cc1c(C)c2cc3c(C)coc3cc2oc1=O
mh687	CN(CO)CC1CCc(ccc2)n(C1)c2=O
mh688	NCC1CCC(CO)CC1
mh689	CCCCCC(C)C
mh690	N=C(O)N1CC2CC(C1)ccccc(=O)nC2
mh691	NC(C(O)=O)Cc1ccc(O)ccc[nH]c1
mh692	CC1CCC(C)C1
mh693	CC1CC(CN)Cn2c1cccc2=O
mh694	CC1CCC(CO)CC1
mh695	CC(O)=NCC(=O)O
mh696	CC12CCC(=O)C=C1CCC1CCCCC12
mh697	C=NCC1CCC(CC1)C(=O)O
mh698	O=C1:C:C:C2:C:C3:C:C:O:C:3:C:C:2:O:1
mh699	CC(C)OC=O
mh700	Oc1cc(c(CCCO)c[nH]2)c2cc1
mh701	[nH]c1ccccc1
mh702	C12CNCC(c3n(C2)cccc3)C1
mh703	C(Cc1c[nH]c2ccccc12)C(=O)O
mh704	C(c1ccccc1)c1ccccc1
mh705	CCC=CCCCC(C)CCCO
mh706	OCCc1ccccc1
mh707	CCc1ccc(Cl)cc1
mh708	c1ccc(=O)oc1
mh709	N=C(O)N1CC2CC(C1)c(cccc=O)nC2
mh710	C(O)=NCc1ccccc1
mh711	CC1CN(CCc2cccc(=O)n2C1)C(O)=N
