index	smarts
mh137	CC1CC(CNC1)c1cccc(=O)n1
mh138	CCCCCCOC=O
mh139	COCC(C)O
mh140	CC1CCCn2c1cccc2=O
mh141	O=COCCO
mh142	cccc(Cl)cc
mh143	CC=CC(C)=O
mh144	N1CC2CC(C1)c1cccc(=O)n1C2
mh145	CCC1:C:C:C(O):C:C:1O
mh146	CC(C)NC=O
mh147	CCCCCl
mh148	NC(CO)Cc(c[nH]1)c2c1cccc2
mh149	CC(C)(C)OC=O
mh150	CCN(C)CC
mh151	OCCCc1ccccc1
mh152	CC1CC(c(ccc2)n(C1)c2=O)CNCO
mh153	NC(C(O)=O)Ccccccc
mh154	c1c[nH]c(ccc(O)c)c1
mh155	C1CCc2cccc(=O)n2C1
mh156	CNCC1CCc2cccc(=O)n2C1
mh157	C(Cc1c[nH]cc1cccc)C(=O)O
mh158	O=CC1:C:C:C:C:C:1O
mh159	C(Cc1ccccc1)C(=O)O
mh160	c:C~F
mh161	CC1CC(CNC=O)Cn2c1cccc2=O
mh162	Cl
mh163	N=C(O)N1CC2CC(C1)c1cccc(=O)n1C2
mh164	CCC(CCCCN=CO)C(=O)O
mh165	CN1CC2CC(c(ccc3)n(C2)c3=O)C1
mh166	O=C1C=CCCC1
mh167	NCCCCO
mh168	CC(=O)N1CC2CC(C1)c(cc)n(C2)c(=O)c
mh169	NC(C(O)=O)Ccc(cc(O)cc1)c1[nH]c
mh170	C(O)=NC(Cc1c[nH]c(ccc(O)c)c1)C(=O)O
mh171	C(=O)N1CC2CC(C1)cn(C2)c(=O)ccc
mh172	NCCCC(=O)O
mh173	Cc(c)cccc
mh174	CC1=CC(=CCC2CCCCC2C)CCC1
mh175	C1CNCCN1
mh176	CC1CC(Cn(c1ccc2)c2=O)CNCO
mh177	C(Cc(c)c1cc(O)ccc1[nH])C(=O)O
mh178	CCNC(N)=O
mh179	C(O)=NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O
mh180	Nc1ccccc1
mh181	N=C(N1CC2CC(c3n(C2)cccc3)C1)O
mh182	CN(C)C(N)=O
mh183	Ccccccc
mh184	N=CN1CC2CC(C1)c1cccc(=O)n1C2
mh185	c1cccc(=O)n1
mh186	c1c[nH]c(c)c1ccc
mh187	CCc1c[nH]c2ccccc12
mh188	N=C(O)N1CCCC(C1)Cn1ccccc1=O
mh189	C(Ccc1cc(O)ccc1[nH]c)C(=O)O
mh190	O=CC1CCCC1
mh191	c(c[nH])c1ccccc1
mh192	OC(=O)c(c)cccc
mh193	NCCC1:C:N:C2:C:C:C:C:C:1:2
mh194	c1ccc(Cl)cc1
mh195	N1CC2CC(C1)ccccc(=O)nC2
mh196	C:C:C(:C)C(=O)O
mh197	C:C(O):C:C(O):C1:C:C:C:O:C:1
mh198	CCCNC=O
mh199	CCCCC(C)C(=O)O
mh200	C(Cc(c)cccc)C(=O)O
mh201	CC1CCCCC1N
mh202	OC1:C:C:O:C2:C:C:C:C:C:1:2
mh203	C(=O)CCc1c[nH]c2ccccc12
mh204	OCC(=O)N1CC2CC(C1)cn(C2)c(=O)ccc
mh205	N=C(O)N1CC2CC(C1)c3ccccn3C2
mh206	CCCCCCCC=O
mh207	CC1CN(CCCn2c1cccc2=O)C(=O)CO
mh208	oc(=O)ccC
mh209	c(c)c1ccccc1[nH]
mh210	CC(=O)NCC1CC(C)Cn2c1cccc2=O
mh211	cc[nH]c1ccc(O)cc1
mh212	CC(=O)OCC=O
mh213	cccc(O)cc
mh214	c1c[nH]c2ccc(O)cc12
mh215	CC1CN(CCc2cccc(=O)n2C1)C=O
mh216	c1ccc(cc1)OC
mh217	CCN(CC)CCN
mh218	OCC(=O)N1CC2CC(C1)c(c)n(C2)c(=O)cc
mh219	Cn1ccccc1=O
mh220	CCC(=O)NC(C)C
mh221	CCOC(=O)C(C)C1:C:C:C:C:C:1
mh222	CCNC(=O)CO
mh223	c(cc=O)CC
mh224	CCC(=O)OC
mh225	C(O)=NC(Cc1c[nH]c(c)c1cc(O)c)C(=O)O
mh226	NC(C(O)=O)Cc(c[nH]1)c2c1ccc(O)c2
mh227	CC(O)C(=O)O
mh228	CC1CCC(C(C)C)C(O)C1
mh229	OC1CCCCC1O
mh230	c1ccc(OC)cc1
mh231	CC(=O)NCC1CC(C)c2cccc(=O)n2C1
mh232	C(Cc1c[nH]cccc(O)cc1)C(=O)O
mh233	COC1:C:C(O):C2:C:C:C:O:C:2:C:1
mh234	Cc(cc)ccc
mh235	O=CCOC=O
mh236	CC(C)COC=O
