mz	intensity	rcdk_assignment_top	rcdk_top_mass	rcdk_all_outputs	formula	index	from_index	to_index
70.06513	20.21	C4H8N	70.06567426227	0.0005442622699973754	C4H8N	frag_0		
71.07295	0.77	C4H9N	71.0734992945	0.0005492944999900828	C4H9N	frag_1		
83.08553	1.73	C6H11	83.08607535453	0.0005453545299900497	C6H11	frag_2		
98.09643	0.46	C6H12N	98.09697439119	0.0005443911900044895	C6H12N	frag_3		
171.02293	2.14	C6H7N2O2S	171.02282364801	0.000106351990012854	C6H7N2O2S	frag_4		
261.99573	0.81	C15H4NO2S	261.99627454689	0.0005445468900120431	C15H4NO2S	frag_5		
276.04776	12.93	C17H10NOS	276.04831012069997	0.000550120699983836	C17H10NOS	frag_6		
288.04776	4.97	C18H10NOS	288.04831012069997	0.000550120699983836	C18H10NOS	frag_7		
316.04268	0.63	C19H10NO2S	316.04322474027003	0.000544740270015609	C19H10NO2S	frag_8		
333.06923	100.0	C19H13N2O2S	333.06977384139	0.000543841389969657	C19H13N2O2S	frag_9		
263.0041	60.105				C15H5NO2S	loss_0	frag_9	frag_0
204.97481	6.85				C13HOS	loss_1	frag_6	frag_1
216.97481	2.87				C14HOS	loss_2	frag_7	frag_1
261.99628	50.385				C15H4NO2S	loss_3	frag_9	frag_1
249.9837	50.865				C13H2N2O2S	loss_4	frag_9	frag_2
234.9728	50.23				C13HNO2S	loss_5	frag_9	frag_3
162.0463	51.07				C13H6	loss_6	frag_9	frag_4
71.07350000000002	50.405				C4H9N	loss_7	frag_9	frag_5
57.02147000000002	56.465				C2H3NO	loss_8	frag_9	frag_6
45.02147000000002	52.485				CH3NO	loss_9	frag_9	frag_7
17.026549999999986	50.315				H3N	loss_10	frag_9	frag_8
