mz	intensity	rcdk_assignment_top	rcdk_top_mass	rcdk_all_outputs	formula	index	from_index	to_index
61.02841	0.22	C2H5O2	61.028954400290004	0.0005444002900034661	C2H5O2	frag_0		
69.03349	0.32	C4H5O	69.03403978072001	0.0005497807200072202	C4H5O	frag_1		
85.02841	5.05	C4H5O2	85.02895440029	0.0005444002900105716	C4H5O2	frag_2		
89.05971	0.25	C4H9O2	89.06025452921	0.0005445292100034749	C4H9O2	frag_3		
91.03897	0.24	C3H7O3	91.03951908432	0.0005490843199993378	C3H7O3	frag_4		
97.02841	0.96	C5H5O2	97.02895440029	0.0005444002900105716	C5H5O2	frag_5		
109.02841	0.24	C6H5O2	109.02895440029	0.0005444002900105716	C6H5O2	frag_6		
127.03897	1.3	C6H7O3	127.03951908432	0.0005490843199993378	C6H7O3	frag_7		
129.06585	2.17	C5H9N2O2	129.06640253807	0.0005525380699964444	C5H9N2O2	frag_8		
130.06513	13.485	C9H8N	130.06567426227	0.0005442622699831645	C9H8N	frag_9		
132.08078	2.52	C9H10N	132.08132432673	0.000544326729993827	C9H10N	frag_10		
141.10224	1.69	C7H13N2O	141.10278804742	0.000548047420011244	C7H13N2O	frag_11		
145.04953	1.31	C6H9O4	145.05008376835002	0.0005537683500165258	C6H9O4	frag_12		
157.06077	1.16	C6H9N2O3	157.06131715764002	0.0005471576400282174	C6H9N2O3	frag_13		
157.07602	1.99	C10H9N2	157.07657329893	0.0005532989299865676	C10H9N2	frag_14		
159.09168	11.635	C10H11N2	159.09222336339	0.000543363389994056	C10H11N2	frag_15		
159.1128	0.75	C7H15N2O2	159.11335273145	0.0005527314500000102	C7H15N2O2	frag_16		
160.07569	0.75	C10H10NO	160.0762389463	0.0005489463000003525	C10H10NO	frag_17		
160.09548	0.98	C5H12N4O2	160.09602564362	0.0005456436200006465	C5H12N4O2	frag_18		
168.11314	3.48	C8H14N3O	168.11368708408	0.0005470840800114729	C8H14N3O	frag_19		
169.09715	10.86	C8H13N2O2	169.09770266699002	0.0005526669900177694	C8H13N2O2	frag_20		
170.06004	2.31	C11H8NO	170.06058888184	0.0005488818400181117	C11H8NO	frag_21		
171.14919	1.98	C9H19N2O	171.1497382408	0.0005482407999863881	C9H19N2O	frag_22		
183.09168	1.49	C12H11N2	183.09222336339	0.000543363389994056	C12H11N2	frag_23		
183.1128	1.49	C9H15N2O2	183.11335273145	0.0005527314500000102	C9H15N2O2	frag_24		
184.07569	0.95	C12H10NO	184.0762389463	0.0005489463000003525	C12H10NO	frag_25		
186.1237	18.21	C8H16N3O2	186.12425176811	0.0005517681100002392	C8H16N3O2	frag_26		
187.08659	7.175	C11H11N2O	187.08713798296	0.0005479829600005814	C11H11N2O	frag_27		
187.10772	2.59	C8H15N2O3	187.10826735102	0.0005473510200033616	C8H15N2O3	frag_28		
188.07061	1.21	C11H10NO2	188.07115356587	0.0005435658700037038	C11H10NO2	frag_29		
188.09039	0.66	C6H12N4O3	188.09094026319	0.0005502631899787502	C6H12N4O3	frag_30		
194.07983	2.46	C8H10N4O2	194.08037557916	0.0005455791600184057	C8H10N4O2	frag_31		
196.10805	3.44	C9H14N3O2	196.10860170365	0.0005517036500179984	C9H14N3O2	frag_32		
197.09207	2.015	C9H13N2O3	197.09261728656	0.000547286559992699	C9H13N2O3	frag_33		
197.12845	1.555	C10H17N2O2	197.12900279591	0.0005527959100106727	C10H17N2O2	frag_34		
198.1237	2.945	C9H16N3O2	198.12425176811	0.0005517681100002392	C9H16N3O2	frag_35		
199.1441	1.645	C10H19N2O2	199.14465286037	0.0005528603699929135	C10H19N2O2	frag_36		
200.13935	0.93	C9H18N3O2	200.13990183257	0.00055183256998248	C9H18N3O2	frag_37		
201.10224	29.735	C12H13N2O	201.10278804742	0.000548047420011244	C12H13N2O	frag_38		
202.10604	1.945	C7H14N4O3	202.10659032765	0.0005503276499894127	C7H14N4O3	frag_39		
211.10772	17.56	C10H15N2O3	211.10826735102	0.0005473510200033616	C10H15N2O3	frag_40		
212.09039	0.69	C8H12N4O3	212.09094026319	0.0005502631899787502	C8H12N4O3	frag_41		
214.11862	8.78	C9H16N3O3	214.11916638768	0.0005463876800035905	C9H16N3O3	frag_42		
215.13902	1.075	C10H19N2O3	215.13956747994	0.0005474799400246866	C10H19N2O3	frag_43		
226.11862	9.12	C10H16N3O3	226.11916638768	0.0005463876800035905	C10H16N3O3	frag_44		
227.0815	3.135	H138N4O2	227.08197970459997	0.00047970459996804493	H138N4O2	frag_45		
228.13427	45.2	C10H18N3O3	228.13481645214	0.000546452140014253	C10H18N3O3	frag_46		
229.09715	29.935	C13H13N2O2	229.09770266699002	0.0005526669900177694	C13H13N2O2	frag_47		
230.10096	2.145	C8H14N4O4	230.10150494722	0.0005449472200211858	C8H14N4O4	frag_48		
264.17065	1.6	C14H22N3O2	264.17120196149	0.0005519614899753833	C14H22N3O2	frag_49		
268.16557	0.8	C13H22N3O3	268.16611658106	0.0005465810600071563	C13H22N3O3	frag_50		
282.18122	4.08	C14H24N3O3	282.18176664552	0.0005466455199893971	C14H24N3O3	frag_51		
296.16048	1.245	C14H22N3O4	296.16103120062996	0.0005512006299568384	C14H22N3O4	frag_52		
300.17065	5.62	C2H28N4O12	300.170372355	0.0002776450000396835	C2H28N4O12	frag_53		
300.19178	1.61	C14H26N3O4	300.19233132955003	0.0005513295500350068	C14H26N3O4	frag_54		
301.17446	0.44	C12H23N5O4	301.17500424172	0.0005442417199787997	C12H23N5O4	frag_55		
309.19212	0.47	H31N5O13	309.19183607569	0.000283924309997019	H31N5O13	frag_56		
310.17613	0.915	H30N4O14	310.1758516586	0.0002783414000191442	H30N4O14	frag_57		
311.17138	1.615	C14H23N4O4	311.17193023729	0.000550237289985489	C14H23N4O4	frag_58		
313.18703	4.82	C14H25N4O4	313.18758030175	0.0005503017500245733	C14H25N4O4	frag_59		
326.14992	2.1	C3H26N4O13	326.14963691010996	0.0002830898900469947	C3H26N4O13	frag_60		
327.15372	0.44	C12H15N12	327.15426353660996	0.0005435366099391103	C12H15N12	frag_61		
327.20268	1.835	H33N5O14	327.20240075972004	0.0002792402799514093	H33N5O14	frag_62		
328.16557	100.0	C3H28N4O13	328.16528697457	0.00028302543000791047	C3H28N4O13	frag_63		
329.16937	10.75	C12H17N12	329.16991360107	0.0005436010699781946	C12H17N12	frag_64		
339.1663	0.87	H29N5O15	339.16601525037004	0.0002847496299409613	H29N5O15	frag_65		
340.23432	0.4	CH36N6O13	340.23403524127	0.00028475873000388674	CH36N6O13	frag_66		
345.19212	9.565	C3H31N5O13	345.19183607569	0.000283924309997019	C3H31N5O13	frag_67		
358.24488	0.45	CH38N6O14	358.2445999253	0.00028007470001512047	CH38N6O14	frag_68		
367.23398	0.73	C3H37N5O14	367.23370088864	0.0002791113599869277	C3H37N5O14	frag_69		
392.22923	1.825	C4H36N6O14	392.22894986084003	0.00028013915994051786	C4H36N6O14	frag_70		
393.21325	1.39	C4H35N5O15	393.21296544375	0.0002845562499942389	C4H35N5O15	frag_71		
410.2398	0.98	C4H38N6O15	410.23951454487	0.00028545512998334743	C4H38N6O15	frag_72		
439.1976	0.52	C8H33N5O15	439.19731537929	0.0002846207100333231	C8H33N5O15	frag_73		
456.22415	22.33	C8H36N6O15	456.22386448041004	0.00028551958996558824	C8H36N6O15	frag_74		
523.26635	0.64	C13H47O20	523.26606890621	0.00028109379002216883	C13H47O20	frag_75		
541.27691	11.62	C41H35N	541.27695013248	4.013247996681457e-05	C41H35N	frag_76		
659.33588	16.26	C40H39N10	659.33591630127	3.630127002907102e-05	C40H39N10	frag_77		
660.34371	5.73	C40H40N10	660.3437413335	3.133350003281521e-05	C40H40N10	frag_78		
661.35153	0.9	C40H41N10	661.3515663657299	3.636572989762499e-05	C40H41N10	frag_79		
675.33079	0.44	C40H39N10O	675.3308309208401	4.09208400924399e-05	C40H39N10O	frag_80		
676.33862	0.62	C40H40N10O	676.33865595307	3.5953069982497254e-05	C40H40N10O	frag_81		
677.34645	39.17	C40H41N10O	677.3464809853	3.0985299986241444e-05	C40H41N10O	frag_82		
678.35427	13.84	C40H42N10O	678.35430601753	3.601752996473806e-05	C40H42N10O	frag_83		
679.36209	2.49	C40H43N10O	679.36213104976	4.1049760056921514e-05	C40H43N10O	frag_84		
703.32571	30.55	C41H39N10O2	703.32574554041	3.554041006736952e-05	C41H39N10O2	frag_85		
704.33353	11.16	C41H40N10O2	704.3335705726399	4.05726399321793e-05	C41H40N10O2	frag_86		
705.34136	2.08	C41H41N10O2	705.34139560487	3.560486993592349e-05	C41H41N10O2	frag_87		
719.32062	2.51	C41H39N10O3	719.32066015998	4.0159980017051566e-05	C41H39N10O3	frag_88		
720.32845	2.68	C41H40N10O3	720.32848519221	3.5192210020795756e-05	C41H40N10O3	frag_89		
721.33628	100.0	C41H41N10O3	721.33631022444	3.0224440024539945e-05	C41H41N10O3	frag_90		
722.3441	38.05	C41H42N10O3	722.34413525667	3.525667000303656e-05	C41H42N10O3	frag_91		
723.35193	7.2	C41H43N10O3	723.3519602889	3.028890000678075e-05	C41H43N10O3	frag_92		
23.999999999999993	2.635				C2	loss_0	frag_2	frag_0
28.031299999999995	0.235				C2H4	loss_1	frag_3	frag_0
30.010560000000005	0.23				CH2O	loss_2	frag_4	frag_0
35.99999999999999	0.59				C3	loss_3	frag_5	frag_0
47.99999999999999	0.23				C4	loss_4	frag_6	frag_0
66.01056	0.76				C4H2O	loss_5	frag_7	frag_0
68.03744	1.195				C3H4N2	loss_6	frag_8	frag_0
84.02112	0.765				C4H4O2	loss_7	frag_12	frag_0
96.03235999999998	0.69				C4H4N2O	loss_8	frag_13	frag_0
98.08438999999998	0.485				C5H10N2	loss_9	frag_16	frag_0
99.06707	0.6				C3H7N4	loss_10	frag_18	frag_0
108.06873999999999	5.54				C6H8N2	loss_11	frag_20	frag_0
122.08438999999998	0.855				C7H10N2	loss_12	frag_24	frag_0
125.09529	9.215				C6H11N3	loss_13	frag_26	frag_0
126.07930999999999	1.405				C6H10N2O	loss_14	frag_28	frag_0
127.04219999999998	0.715				C9H5N	loss_15	frag_29	frag_0
127.06198	0.44				C4H7N4O	loss_16	frag_30	frag_0
133.05141999999998	1.34				C6H5N4	loss_17	frag_31	frag_0
135.07963999999998	1.83				C7H9N3	loss_18	frag_32	frag_0
136.06366	1.1175				C7H8N2O	loss_19	frag_33	frag_0
136.10003999999998	0.8875				C8H12N2	loss_20	frag_34	frag_0
137.09529	1.5825				C7H11N3	loss_21	frag_35	frag_0
138.11569	0.9325				C8H14N2	loss_22	frag_36	frag_0
139.11094	0.575				C7H13N3	loss_23	frag_37	frag_0
141.07763	1.0825				C5H9N4O	loss_24	frag_39	frag_0
150.07931	8.89				C8H10N2O	loss_25	frag_40	frag_0
151.06198	0.455				C6H7N4O	loss_26	frag_41	frag_0
153.09020999999998	4.5				C7H11N3O	loss_27	frag_42	frag_0
154.11060999999998	0.6475				C8H14N2O	loss_28	frag_43	frag_0
165.09020999999998	4.67				C8H11N3O	loss_29	frag_44	frag_0
167.10585999999998	22.71				C8H13N3O	loss_30	frag_46	frag_0
168.06874	15.0775				C11H8N2	loss_31	frag_47	frag_0
169.07254999999998	1.1825				C6H9N4O2	loss_32	frag_48	frag_0
203.14224000000002	0.91				C12H17N3	loss_33	frag_49	frag_0
207.13716	0.51				C11H17N3O	loss_34	frag_50	frag_0
221.15281	2.15				C12H19N3O	loss_35	frag_51	frag_0
235.13207	0.7325				C12H17N3O2	loss_36	frag_52	frag_0
239.14224000000002	2.92				H23N4O10	loss_37	frag_53	frag_0
239.16337	0.915				C12H21N3O2	loss_38	frag_54	frag_0
240.14605	0.33				C10H18N5O2	loss_39	frag_55	frag_0
250.14297	0.9175				C12H18N4O2	loss_40	frag_58	frag_0
252.15861999999998	2.52				C12H20N4O2	loss_41	frag_59	frag_0
265.12151	1.16				CH21N4O11	loss_42	frag_60	frag_0
267.13716	50.11				CH23N4O11	loss_43	frag_63	frag_0
284.16371	4.8925				CH26N5O11	loss_44	frag_67	frag_0
306.20556999999997	0.475				CH32N5O12	loss_45	frag_69	frag_0
331.20081999999996	1.0225				C2H31N6O12	loss_46	frag_70	frag_0
332.18484	0.805				C2H30N5O13	loss_47	frag_71	frag_0
349.21139	0.6				C2H33N6O13	loss_48	frag_72	frag_0
378.16919	0.37				C6H28N5O13	loss_49	frag_73	frag_0
395.19574	11.275				C6H31N6O13	loss_50	frag_74	frag_0
462.23794	0.43				C11H42O18	loss_51	frag_75	frag_0
642.2973	15.385				C39H34N10	loss_52	frag_85	frag_0
643.30512	5.69				C39H35N10	loss_53	frag_86	frag_0
644.31295	1.15				C39H36N10	loss_54	frag_87	frag_0
658.29221	1.365				C39H34N10O	loss_55	frag_88	frag_0
659.30004	1.45				C39H35N10O	loss_56	frag_89	frag_0
660.30787	50.11				C39H36N10O	loss_57	frag_90	frag_0
661.31569	19.135				C39H37N10O	loss_58	frag_91	frag_0
662.32352	3.71				C39H38N10O	loss_59	frag_92	frag_0
15.994919999999993	2.685				O	loss_60	frag_2	frag_1
27.994919999999993	0.64				CO	loss_61	frag_5	frag_1
58.005480000000006	0.81				C2H2O2	loss_62	frag_7	frag_1
60.03236000000001	1.245				CH4N2O	loss_63	frag_8	frag_1
72.06875	1.005				C3H8N2	loss_64	frag_11	frag_1
76.01604	0.815				C2H4O3	loss_65	frag_12	frag_1
88.02727999999999	0.74				C2H4N2O2	loss_66	frag_13	frag_1
90.07930999999999	0.535				C3H10N2O	loss_67	frag_16	frag_1
91.04220000000001	0.535				C6H5N	loss_68	frag_17	frag_1
91.06199000000001	0.65				CH7N4O	loss_69	frag_18	frag_1
99.07964999999999	1.9				C4H9N3	loss_70	frag_19	frag_1
100.06366	5.59				C4H8N2O	loss_71	frag_20	frag_1
101.02654999999999	1.315				C7H3N	loss_72	frag_21	frag_1
102.1157	1.15				C5H14N2	loss_73	frag_22	frag_1
114.07930999999999	0.905				C5H10N2O	loss_74	frag_24	frag_1
115.04220000000001	0.635				C8H5N	loss_75	frag_25	frag_1
117.09021000000001	9.265				C4H11N3O	loss_76	frag_26	frag_1
118.0531	3.7475				C7H6N2	loss_77	frag_27	frag_1
118.07423	1.455				C4H10N2O2	loss_78	frag_28	frag_1
119.03711999999999	0.765				C7H5NO	loss_79	frag_29	frag_1
119.05690000000001	0.49				C2H7N4O2	loss_80	frag_30	frag_1
125.04633999999999	1.39				C4H5N4O	loss_81	frag_31	frag_1
127.07455999999999	1.88				C5H9N3O	loss_82	frag_32	frag_1
128.05858	1.1675				C5H8N2O2	loss_83	frag_33	frag_1
128.09496	0.9375				C6H12N2O	loss_84	frag_34	frag_1
129.09021	1.6325				C5H11N3O	loss_85	frag_35	frag_1
130.11061	0.9825				C6H14N2O	loss_86	frag_36	frag_1
131.10586	0.625				C5H13N3O	loss_87	frag_37	frag_1
132.06875	15.0275				C8H8N2	loss_88	frag_38	frag_1
133.07255	1.1325				C3H9N4O2	loss_89	frag_39	frag_1
142.07423	8.94				C6H10N2O2	loss_90	frag_40	frag_1
143.0569	0.505				C4H7N4O2	loss_91	frag_41	frag_1
145.08513	4.55				C5H11N3O2	loss_92	frag_42	frag_1
146.10553	0.6975				C6H14N2O2	loss_93	frag_43	frag_1
157.08513	4.72				C6H11N3O2	loss_94	frag_44	frag_1
159.10078	22.76				C6H13N3O2	loss_95	frag_46	frag_1
160.06366	15.1275				C9H8N2O	loss_96	frag_47	frag_1
161.06747	1.2325				C4H9N4O3	loss_97	frag_48	frag_1
195.13716000000002	0.96				C10H17N3O	loss_98	frag_49	frag_1
199.13208	0.56				C9H17N3O2	loss_99	frag_50	frag_1
213.14773	2.2				C10H19N3O2	loss_100	frag_51	frag_1
227.12699	0.7825				C10H17N3O3	loss_101	frag_52	frag_1
231.15829	0.965				C10H21N3O3	loss_102	frag_54	frag_1
232.14097	0.38				C8H18N5O3	loss_103	frag_55	frag_1
242.13789	0.9675				C10H18N4O3	loss_104	frag_58	frag_1
244.15354	2.57				C10H20N4O3	loss_105	frag_59	frag_1
323.19574	1.0725				H31N6O13	loss_106	frag_70	frag_1
324.17976	0.855				H30N5O14	loss_107	frag_71	frag_1
341.20631000000003	0.65				H33N6O14	loss_108	frag_72	frag_1
370.16411000000005	0.42				C4H28N5O14	loss_109	frag_73	frag_1
387.19066	11.325				C4H31N6O14	loss_110	frag_74	frag_1
454.23285999999996	0.48				C9H42O19	loss_111	frag_75	frag_1
606.2973	0.38				C36H34N10	loss_112	frag_80	frag_1
607.30513	0.47				C36H35N10	loss_113	frag_81	frag_1
608.31296	19.745				C36H36N10	loss_114	frag_82	frag_1
609.32078	7.08				C36H37N10	loss_115	frag_83	frag_1
610.3285999999999	1.405				C36H38N10	loss_116	frag_84	frag_1
634.2922199999999	15.435				C37H34N10O	loss_117	frag_85	frag_1
635.30004	5.74				C37H35N10O	loss_118	frag_86	frag_1
636.30787	1.2				C37H36N10O	loss_119	frag_87	frag_1
650.2871299999999	1.415				C37H34N10O2	loss_120	frag_88	frag_1
651.29496	1.5				C37H35N10O2	loss_121	frag_89	frag_1
652.30279	50.16				C37H36N10O2	loss_122	frag_90	frag_1
653.31061	19.185				C37H37N10O2	loss_123	frag_91	frag_1
654.31844	3.76				C37H38N10O2	loss_124	frag_92	frag_1
84.06874	7.955				C4H8N2	loss_125	frag_20	frag_2
101.09529000000002	11.63				C4H11N3	loss_126	frag_26	frag_2
126.07931	11.305				C6H10N2O	loss_127	frag_40	frag_2
129.09021	6.915				C5H11N3O	loss_128	frag_42	frag_2
141.09021	7.085				C6H11N3O	loss_129	frag_44	frag_2
143.10586	25.125				C6H13N3O	loss_130	frag_46	frag_2
144.06874	17.4925				C9H8N2	loss_131	frag_47	frag_2
371.19574	13.69				C4H31N6O13	loss_132	frag_74	frag_2
618.2973	17.8				C37H34N10	loss_133	frag_85	frag_2
619.30512	8.105				C37H35N10	loss_134	frag_86	frag_2
636.30787	52.525				C37H36N10O	loss_135	frag_90	frag_2
637.31569	21.55				C37H37N10O	loss_136	frag_91	frag_2
638.32352	6.125				C37H38N10O	loss_137	frag_92	frag_2
40.006140000000016	1.21				CN2	loss_138	frag_8	frag_3
55.98982000000001	0.78				C2O2	loss_139	frag_12	frag_3
68.00106	0.705				C2N2O	loss_140	frag_13	frag_3
70.05309	0.5				C3H6N2	loss_141	frag_16	frag_3
71.03577000000001	0.615				CH3N4	loss_142	frag_18	frag_3
80.03744	5.555				C4H4N2	loss_143	frag_20	frag_3
94.05309	0.87				C5H6N2	loss_144	frag_24	frag_3
97.06399000000002	9.23				C4H7N3	loss_145	frag_26	frag_3
98.04801	1.42				C4H6N2O	loss_146	frag_28	frag_3
99.01089999999999	0.73				C7HN	loss_147	frag_29	frag_3
99.03068000000002	0.455				C2H3N4O	loss_148	frag_30	frag_3
105.02011999999999	1.355				C4HN4	loss_149	frag_31	frag_3
107.04834	1.845				C5H5N3	loss_150	frag_32	frag_3
108.03236000000001	1.1325				C5H4N2O	loss_151	frag_33	frag_3
108.06873999999999	0.9025				C6H8N2	loss_152	frag_34	frag_3
109.06399000000002	1.5975				C5H7N3	loss_153	frag_35	frag_3
110.08439000000001	0.9475				C6H10N2	loss_154	frag_36	frag_3
111.07964000000001	0.59				C5H9N3	loss_155	frag_37	frag_3
113.04633000000001	1.0975				C3H5N4O	loss_156	frag_39	frag_3
122.04801	8.905				C6H6N2O	loss_157	frag_40	frag_3
123.03068000000002	0.47				C4H3N4O	loss_158	frag_41	frag_3
125.05891	4.515				C5H7N3O	loss_159	frag_42	frag_3
126.07930999999999	0.6625				C6H10N2O	loss_160	frag_43	frag_3
137.05891	4.685				C6H7N3O	loss_161	frag_44	frag_3
