mz	intensity	rcdk_assignment_top	rcdk_top_mass	rcdk_all_outputs	formula	index	from_index	to_index
103.0502	10.93	C3H7N2O2	103.05075247361	0.0005524736099999927	C3H7N2O2	frag_0		
106.06245	2.75	C4H10O3	106.06299418101	0.0005441810099995337	C4H10O3	frag_1		
107.07027	20.87	C4H11O3	107.07081921324	0.000549213240006452	C4H11O3	frag_2		
110.05736	2.2	C3H10O4	110.05790880058001	0.0005488005800060591	C3H10O4	frag_3		
115.0502	2.84	C4H7N2O2	115.05075247361	0.0005524736099999927	C4H7N2O2	frag_4		
116.0468	2.16	C5H8O3	116.04734411655001	0.000544116550003082	C5H8O3	frag_5		
120.0781	28.79	C5H12O3	120.07864424547	0.0005442454699959853	C5H12O3	frag_6		
122.09375	32.48	C5H14O3	122.09429430993	0.0005443099300066478	C5H14O3	frag_7		
127.0502	7.37	C5H7N2O2	127.05075247361	0.0005524736099999927	C5H7N2O2	frag_8		
128.0468	8.0	C6H8O3	128.04734411655	0.000544116550003082	C6H8O3	frag_9		
129.06585	3.92	C5H9N2O2	129.06640253807	0.0005525380699964444	C5H9N2O2	frag_10		
130.06245	100.0	C6H10O3	130.06299418101	0.0005441810099853228	C6H10O3	frag_11		
133.08592	2.41	C6H13O3	133.08646927770002	0.0005492777000313254	C6H13O3	frag_12		
134.09375	11.59	C6H14O3	134.09429430993	0.0005443099300066478	C6H14O3	frag_13		
135.10157	5.14	C6H15O3	135.10211934216	0.0005493421599851445	C6H15O3	frag_14		
138.08866	33.16	C5H14O4	138.0892089295	0.0005489294999847516	C5H14O4	frag_15		
144.04171	4.9	C6H8O4	144.04225873612	0.0005487361200096075	C6H8O4	frag_16		
144.0781	11.28	C7H12O3	144.07864424547	0.0005442454699959853	C7H12O3	frag_17		
154.06245	13.22	C8H10O3	154.06299418101	0.0005441810099853228	C8H10O3	frag_18		
155.06625	11.75	C3H11N2O5	155.06679646124	0.0005464612399919133	C3H11N2O5	frag_19		
