mz	intensity	rcdk_assignment_top	rcdk_top_mass	rcdk_all_outputs	formula	index	from_index	to_index
74.02116	0.287091	C2H4NO2	74.02420337249	0.003043372490012075	C2H4NO2	frag_0		
91.04977	0.943299	C2H7N2O2	91.05075247361	0.000982473610008583	C2H7N2O2	frag_1		
105.06844	1.452545	C8H9	105.07042529007	0.0019852900700101372	C8H9	frag_2		
115.05542	5.300933	C9H7	115.05477522561	0.0006447743899968827	C9H7	frag_3		
116.05713	0.430637	C4H8N2O2	116.05857750584	0.0014475058400051921	C4H8N2O2	frag_4		
117.05862	10.707816	C8H7N	117.05784923004	0.0007707699599990292	C8H7N	frag_5		
117.06925	1.29191	C9H9	117.07042529007	0.0011752900700088276	C9H9	frag_6		
127.04591	0.143546	C9H5N	127.04219916558	0.0037108344200049714	C9H5N	frag_7		
128.04759	0.430637	C9H6N	128.05002419781	0.002434197809975558	C9H6N	frag_8		
128.05872	0.786083	C5H8N2O2	128.05857750584	0.00014249416000211568	C5H8N2O2	frag_9		
129.06915	0.905704	C10H9	129.07042529007	0.0012752900699979364	C10H9	frag_10		
130.06276	1.315834	C9H8N	130.06567426227	0.0029142622699964704	C9H8N	frag_11		
131.07141	3.205851	C9H9N	131.0734992945	0.0020892945000241525	C9H9N	frag_12		
132.08073	47.332445	C9H10N	132.08132432673	0.0005943267300096977	C9H10N	frag_13		
141.05042	0.287091	C9H5N2	141.04527317001	0.005146829989996604	C9H5N2	frag_14		
142.06227	1.090263	C10H8N	142.06567426227	0.003404262269981473	C10H8N	frag_15		
143.07101	14.809119	C10H9N	143.0734992945	0.0024892945000090094	C10H9N	frag_16		
144.08333	9.634642	C10H10N	144.08132432673	0.002005673269991348	C10H10N	frag_17		
145.08569	0.287091	C10H11N	145.08914935896001	0.0034593589600149244	C10H11N	frag_18		
146.09492	3.551044	C10H12N	146.09697439119	0.002054391190000615	C10H12N	frag_19		
154.06117	1.220137	C11H8N	154.06567426227	0.004504262269989567	C11H8N	frag_20		
155.07314	0.574182	C11H9N	155.0734992945	0.0003592945000150394	C11H9N	frag_21		
156.07964	9.180081	C11H10N	156.08132432673	0.0016843267299861964	C11H10N	frag_22		
157.08765	20.380054	C11H11N	157.08914935896001	0.0014993589600180712	C11H11N	frag_23		
158.05478	0.280256	C10H8NO	158.06058888184	0.005808881840010827	C10H8NO	frag_24		
158.07242	0.505827	C11H10O	158.07316494187	0.000744941870010507	C11H10O	frag_25		
158.09889	55.142008	C11H12N	158.09697439119	0.0019156088100089619	C11H12N	frag_26		
160.0743	100.0	C10H10NO	160.0762389463	0.0019389463000152318	C10H10NO	frag_27		
160.90634	0.287091	C12HO	161.0027396518	0.09639965179999876	C12HO	frag_28		
161.92979	0.287091	C11NO	161.99798862400002	0.06819862400001853	C11NO	frag_29		
166.06145	0.287091	C12H8N	166.06567426227	0.004224262269985957	C12H8N	frag_30		
167.06848	0.717728	C12H9N	167.0734992945	0.005019294500016258	C12H9N	frag_31		
169.0497	0.574182	C11H7NO	169.05276384961002	0.003063849610015268	C11H7NO	frag_32		
173.10812	7.238798	C11H13N2	173.10787342785	0.0002465721500186646	C11H13N2	frag_33		
174.08627	0.574182	C11H12NO	174.09188901075999	0.005619010759971843	C11H12NO	frag_34		
183.07246	0.574182	C12H9NO	183.06841391407	0.004046085930013987	C12H9NO	frag_35		
184.07262	28.821901	C12H10NO	184.0762389463	0.0036189463000084743	C12H10NO	frag_36		
190.16365	0.123039	C11H14N2O	190.11061307965	0.05303692034999585	C11H14N2O	frag_37		
202.08617	84.855942	C12H12NO2	202.08680363033	0.0006336303299860901	C12H12NO2	frag_38		
202.19791	0.287091	C12H14N2O	202.11061307965	0.08729692035001335	C12H14N2O	frag_39		
203.06691	0.287091	C11H11N2O2	203.08205260252998	0.015142602529977012	C11H11N2O2	frag_40		
17.02861	0.61519				H3N	loss_0	frag_1	frag_0
42.035970000000006	0.35886				C2H4N	loss_1	frag_4	frag_0
54.03756	0.53659				C3H4N	loss_2	frag_9	frag_0
128.06501000000003	42.57152				C10H8	loss_3	frag_38	frag_0
26.00296999999999	2.3292				CN	loss_4	frag_12	frag_2
27.012289999999993	24.3925				CHN	loss_5	frag_13	frag_2
38.002570000000006	8.13083				C2N	loss_6	frag_16	frag_2
39.014889999999994	5.54359				C2HN	loss_7	frag_17	frag_2
41.02648000000001	2.50179				C2H3N	loss_8	frag_19	frag_2
51.01120000000002	5.31631				C3HN	loss_9	frag_22	frag_2
52.01921	10.9163				C3H2N	loss_10	frag_23	frag_2
