mz	intensity	rcdk_assignment_top	rcdk_top_mass	rcdk_all_outputs	formula	index	from_index	to_index
69.03349	0.38	C4H5O	69.03403978072001	0.0005497807200072202	C4H5O	frag_0		
124.03075	0.25	C10H4	124.03130012892	0.0005501289199969506	C10H4	frag_1		
138.01002	100.0	C10H2O	138.01056468403	0.0005446840299896394	C10H2O	frag_2		
180.05697	0.52	C13H8O	180.05751487741	0.0005448774099932052	C13H8O	frag_3		
195.08044	3.69	C14H11O	195.0809899741	0.0005499740999823644	C14H11O	frag_4		
111.02348	0.45				C9H3	loss_0	frag_3	frag_0
126.04695000000001	2.035				C10H6	loss_1	frag_4	frag_0
56.02622000000001	0.385				C3H4O	loss_2	frag_3	frag_1
71.04969000000001	1.97				C4H7O	loss_3	frag_4	frag_1
15.023470000000003	2.105				CH3	loss_4	frag_4	frag_3
