mz	intensity	rcdk_assignment_top	rcdk_top_mass	rcdk_all_outputs	formula	index	from_index	to_index
53.03858	6.11	C4H5	53.03912516115	0.0005451611499935893	C4H5	frag_0		
55.01784	4.53	C3H3O	55.01838971626	0.0005497162600036631	C3H3O	frag_1		
55.05423	9.85	C4H7	55.05477522561	0.0005452256100042518	C4H7	frag_2		
57.03349	3.85	C3H5O	57.03403978072	0.0005497807200001148	C3H5O	frag_3		
57.06988	6.29	C4H9	57.07042529007	0.0005452900700007035	C4H9	frag_4		
59.04914	0.4	C3H7O	59.04968984518	0.0005498451799965665	C3H7O	frag_5		
65.03858	3.47	C5H5	65.03912516115	0.0005451611500006948	C5H5	frag_6		
67.05423	11.89	C5H7	67.05477522561	0.0005452256099971464	C5H7	frag_7		
69.06988	4.75333333333333	C5H9	69.07042529007	0.0005452900700078089	C5H9	frag_8		
71.08553	2.53	C5H11	71.08607535453	0.0005453545299900497	C5H11	frag_9		
73.02841	1.32	C3H5O2	73.02895440029	0.0005444002900105716	C3H5O2	frag_10		
79.01784	1.28	C5H3O	79.01838971626	0.0005497162599965577	C5H3O	frag_11		
79.05423	13.585	C6H7	79.05477522561	0.0005452256099971464	C6H7	frag_12		
81.06988	8.80333333333333	C6H9	81.07042529007	0.0005452900700078089	C6H9	frag_13		
83.01276	0.26	C4H3O2	83.01330433583	0.000544335829999909	C4H3O2	frag_14		
83.04914	4.245	C5H7O	83.04968984518	0.0005498451800036719	C5H7O	frag_15		
83.08553	0.71	C6H11	83.08607535453	0.0005453545299900497	C6H11	frag_16		
85.10118	1.44	C6H13	85.10172541899	0.0005454189900007123	C6H13	frag_17		
87.04406	1.55	C4H7O2	87.04460446475	0.0005444647499928124	C4H7O2	frag_18		
89.05971	11.52	C4H9O2	89.06025452921	0.0005445292100034749	C4H9O2	frag_19		
91.05423	25.41	C7H7	91.05477522561	0.0005452256099971464	C7H7	frag_20		
93.06988	12.48	C7H9	93.07042529007	0.0005452900700078089	C7H9	frag_21		
95.04914	7.71	C6H7O	95.04968984518	0.0005498451800036719	C6H7O	frag_22		
95.08553	4.41	C7H11	95.08607535453	0.0005453545299900497	C7H11	frag_23		
103.03897	0.7	C4H7O3	103.03951908432	0.0005490843199993378	C4H7O3	frag_24		
103.05423	8.545	C8H7	103.05477522561	0.0005452256099971464	C8H7	frag_25		
105.06988	17.965	C8H9	105.07042529007	0.0005452900700078089	C8H9	frag_26		
107.08553	4.52333333333333	C8H11	107.08607535453	0.0005453545299900497	C8H11	frag_27		
109.06479	4.72	C7H9O	109.06533990964	0.0005499096400001235	C7H9O	frag_28		
109.10118	1.03	C8H13	109.10172541899	0.0005454189900007123	C8H13	frag_29		
113.02332	34.05	C5H5O3	113.02386901986	0.0005490198600028862	C5H5O3	frag_30		
115.05423	11.76	C9H7	115.05477522561	0.0005452256099971464	C9H7	frag_31		
117.06988	10.965	C9H9	117.07042529007	0.0005452900700078089	C9H9	frag_32		
119.08553	9.92	C9H11	119.08607535453	0.0005453545299900497	C9H11	frag_33		
121.06479	3.14333333333333	C8H9O	121.06533990964	0.0005499096400001235	C8H9O	frag_34		
121.10118	9.855	C9H13	121.10172541899	0.0005454189900007123	C9H13	frag_35		
123.11683	0.73	C9H15	123.11737548345	0.0005454834500113748	C9H15	frag_36		
128.06205	12.335	C10H8	128.06260025784	0.0005502578399898539	C10H8	frag_37		
129.06988	12.455	C10H9	129.07042529007	0.0005452900699935981	C10H9	frag_38		
131.08553	9.34	C10H11	131.08607535453	0.0005453545300042606	C10H11	frag_39		
133.06479	1.15	C9H9O	133.06533990964	0.0005499096400001235	C9H9O	frag_40		
133.08592	3.76	C6H13O3	133.08646927770002	0.0005492777000313254	C6H13O3	frag_41		
133.10118	8.87	C10H13	133.10172541899	0.0005454189899865014	C10H13	frag_42		
135.08044	1.23	C9H11O	135.0809899741	0.0005499740999823644	C9H11O	frag_43		
141.06988	8.195	C11H9	141.07042529007	0.0005452900699935981	C11H9	frag_44		
142.0777	9.565	C11H10	142.0782503223	0.0005503223000005164	C11H10	frag_45		
143.03388	89.3	C6H7O4	143.03443370389	0.0005537038899774416	C6H7O4	frag_46		
143.08553	12.405	C11H11	143.08607535453	0.0005453545300042606	C11H11	frag_47		
145.06479	3.12	C10H9O	145.06533990964	0.0005499096400001235	C10H9O	frag_48		
145.10118	5.905	C11H13	145.10172541899	0.0005454189899865014	C11H13	frag_49		
147.08044	2.14	C10H11O	147.0809899741	0.0005499740999823644	C10H11O	frag_50		
147.11683	4.65	C11H15	147.11737548345	0.0005454834499971639	C11H15	frag_51		
153.06988	9.825	C12H9	153.07042529007	0.0005452900699935981	C12H9	frag_52		
155.08553	10.95	C12H11	155.08607535453	0.0005453545300042606	C12H11	frag_53		
157.10118	6.23	C12H13	157.10172541899	0.0005454189899865014	C12H13	frag_54		
159.08044	3.075	C11H11O	159.0809899741	0.0005499740999823644	C11H11O	frag_55		
159.11683	1.15	C12H15	159.11737548345	0.0005454834499971639	C12H15	frag_56		
161.09609	6.03	C11H13O	161.09664003856	0.0005500385599930269	C11H13O	frag_57		
161.13248	11.22	C12H17	161.13302554791	0.0005455479100078264	C12H17	frag_58		
165.09101	1.75	C10H13O2	165.09155465813	0.0005446581299963782	C10H13O2	frag_59		
168.09335	5.32	C13H12	168.09390038676	0.0005503867600111789	C13H12	frag_60		
173.09609	0.98	C12H13O	173.09664003856	0.0005500385599930269	C12H13O	frag_61		
175.14813	5.94	C13H19	175.14867561237	0.0005456123699900672	C13H19	frag_62		
183.11683	4.97	C14H15	183.11737548345	0.0005454834499971639	C14H15	frag_63		
185.04445	1.24	C8H9O5	185.04499838792	0.0005483879199914554	C8H9O5	frag_64		
187.11174	4.61	C13H15O	187.11229010302	0.0005501030200036894	C13H15O	frag_65		
188.11957	3.52	C13H16O	188.12011513525	0.0005451352499790119	C13H16O	frag_66		
203.14304	54.62	C14H19O	203.14359023193998	0.000550231939968171	C14H19O	frag_67		
219.17434	64.44	C15H23O	219.17489036086	0.000550360859989496	C15H23O	frag_68		
227.07027	19.8	C14H11O3	227.07081921324	0.0005492132399922411	C14H11O3	frag_69		
245.10197	2.93	C11H17O6	245.10251326533	0.0005432653300090351	C11H17O6	frag_70		
296.03154	2.39	C16H8O6	296.03208797526	0.0005479752600194843	C16H8O6	frag_71		
297.03936	5.34	C16H9O6	297.03991300749	0.0005530074899979809	C16H9O6	frag_72		
299.05501	1.45	C16H11O6	299.05556307195	0.0005530719500370651	C16H11O6	frag_73		
309.03936	100.0	C17H9O6	309.03991300749	0.0005530074899979809	C17H9O6	frag_74		
2.0156499999999937	7.98				H2	loss_0	frag_2	frag_0
4.0312999999999946	6.2				H4	loss_1	frag_4	frag_0
14.01565	9.0				CH2	loss_2	frag_7	frag_0
26.01565	9.8475				C2H2	loss_3	frag_12	frag_0
28.031299999999995	7.45667				C2H4	loss_4	frag_13	frag_0
36.02112999999999	8.815				H4O2	loss_5	frag_19	frag_0
38.01565	15.76				C3H2	loss_6	frag_20	frag_0
40.031299999999995	9.295				C3H4	loss_7	frag_21	frag_0
42.01055999999999	6.91				C2H2O	loss_8	frag_22	frag_0
50.01565	7.3275				C4H2	loss_9	frag_25	frag_0
52.031299999999995	12.0375				C4H4	loss_10	frag_26	frag_0
59.984739999999995	20.08				CO3	loss_11	frag_30	frag_0
62.01565	8.935				C5H2	loss_12	frag_31	frag_0
64.03129999999999	8.5375				C5H4	loss_13	frag_32	frag_0
66.04695000000001	8.015				C5H6	loss_14	frag_33	frag_0
68.0626	7.9825				C5H8	loss_15	frag_35	frag_0
75.02347	9.2225				C6H3	loss_16	frag_37	frag_0
76.03130000000002	9.2825				C6H4	loss_17	frag_38	frag_0
78.04695000000001	7.725				C6H6	loss_18	frag_39	frag_0
80.0626	7.49				C6H8	loss_19	frag_42	frag_0
88.03130000000002	7.1525				C7H4	loss_20	frag_44	frag_0
