mz	intensity	rcdk_assignment_top	rcdk_top_mass	rcdk_all_outputs	formula	index	from_index	to_index
51.02293	0.33	C4H3	51.02347509669	0.0005450966899971377	C4H3	frag_0		
53.03858	1.48	C4H5	53.03912516115	0.0005451611499935893	C4H5	frag_1		
55.01784	0.5	C3H3O	55.01838971626	0.0005497162600036631	C3H3O	frag_2		
57.03349	0.87	C3H5O	57.03403978072	0.0005497807200001148	C3H5O	frag_3		
67.05423	0.64	C5H7	67.05477522561	0.0005452256099971464	C5H7	frag_4		
77.03858	1.03	C6H5	77.03912516115	0.0005451611500006948	C6H5	frag_5		
79.05423	1.65	C6H7	79.05477522561	0.0005452256099971464	C6H7	frag_6		
85.02841	4.71	C4H5O2	85.02895440029	0.0005444002900105716	C4H5O2	frag_7		
87.04406	0.57	C4H7O2	87.04460446475	0.0005444647499928124	C4H7O2	frag_8		
89.05971	0.34	C4H9O2	89.06025452921	0.0005445292100034749	C4H9O2	frag_9		
91.05423	0.72	C7H7	91.05477522561	0.0005452256099971464	C7H7	frag_10		
93.06988	0.26	C7H9	93.07042529007	0.0005452900700078089	C7H9	frag_11		
95.04914	1.98	C6H7O	95.04968984518	0.0005498451800036719	C6H7O	frag_12		
103.03897	3.32	C4H7O3	103.03951908432	0.0005490843199993378	C4H7O3	frag_13		
103.05423	6.415	C8H7	103.05477522561	0.0005452256099971464	C8H7	frag_14		
105.03349	1.12	C7H5O	105.03403978072001	0.0005497807200072202	C7H5O	frag_15		
105.06988	0.735	C8H9	105.07042529007	0.0005452900700078089	C8H9	frag_16		
107.04914	100.0	C7H7O	107.04968984518	0.0005498451800036719	C7H7O	frag_17		
111.04406	0.92	C6H7O2	111.04460446475	0.0005444647499928124	C6H7O2	frag_18		
117.06988	0.4	C9H9	117.07042529007	0.0005452900700078089	C9H9	frag_19		
121.06479	0.505	C8H9O	121.06533990964	0.0005499096400001235	C8H9O	frag_20		
