mz	intensity	rcdk_assignment_top	rcdk_top_mass	rcdk_all_outputs	formula	index	from_index	to_index
43.01715	7.531381	C2H3O	43.01838971626	0.0012397162600024103	C2H3O	frag_0		
121.02259	8.786611	C7H5O2	121.02895440029	0.006364400290010508	C7H5O2	frag_1		
121.02877	26.359833	C7H5O2	121.02895440029	0.00018440029000998948	C7H5O2	frag_2		
149.00638	8.786611	C8H5O3	149.02386901986	0.01748901985999396	C8H5O3	frag_3		
149.02008	100.0	C8H5O3	149.02386901986	0.003789019859993914	C8H5O3	frag_4		
78.00544	8.159				C5H2O	loss_0	frag_1	frag_0
78.01162	16.94561				C5H2O	loss_1	frag_2	frag_0
105.98923	8.159				C6H2O2	loss_2	frag_3	frag_0
106.00293	53.76569				C6H2O2	loss_3	frag_4	frag_0
27.997490000000013	54.39331				CO	loss_4	frag_4	frag_1
27.991310000000013	63.17992				CO	loss_5	frag_4	frag_2
