mz	intensity	rcdk_assignment_top	rcdk_top_mass	rcdk_all_outputs	formula	index	from_index	to_index
43.02915	2.751092	C2H3O	43.01838971626	0.010760283739998044	C2H3O	frag_0		
55.02633	2.751092	C3H3O	55.01838971626	0.007940283739998222	C3H3O	frag_1		
60.04968	1.834061	C3H8O	60.05751487741	0.007834877409997887	C3H8O	frag_2		
60.05512	36.069869	C3H8O	60.05751487741	0.0023948774099977754	C3H8O	frag_3		
72.07928	100.0	C5H12	72.09390038676	0.01462038676000077	C5H12	frag_4		
97.07317	4.934498	C6H9O	97.06533990964	0.007830090360002373	C6H9O	frag_5		
114.0881	0.917031	C7H14O	114.10446507079	0.016365070790001823	C7H14O	frag_6		
114.10159	17.90393	C7H14O	114.10446507079	0.0028750707899973804	C7H14O	frag_7		
17.02597	19.41048				CH5	loss_0	frag_3	frag_0
54.04402	3.8428				C4H6	loss_1	frag_5	frag_0
71.07244	10.32751				C5H11	loss_2	frag_7	frag_0
5.028790000000001	19.41048				H5	loss_3	frag_3	frag_1
42.04684	3.8428				C3H6	loss_4	frag_5	frag_1
59.07526	10.32751				C4H11	loss_5	frag_7	frag_1
37.02349	3.38428				C3H	loss_6	frag_5	frag_2
54.05191	9.869				C4H6	loss_7	frag_7	frag_2
17.028419999999997	11.41921				CH5	loss_8	frag_7	frag_5
