mz	intensity	rcdk_assignment_top	rcdk_top_mass	rcdk_all_outputs	formula	index	from_index	to_index
152.0635	158.4	C12H8	152.06260025784	0.0008997421600156486	C12H8	frag_0		
178.4185	51.9	C10H42O	178.32356597323002	0.09493402676997675	C10H42O	frag_1		
203.3742	45.2	C11H41NO	203.31881494543	0.05538505456999587	C11H41NO	frag_2		
206.0841	143308.1	CH18O11	206.08491139541002	0.0008113954100110732	CH18O11	frag_3		
207.0868	20258.1	C8H15O6	207.08686320087003	6.320087001654429e-05	C8H15O6	frag_4		
208.889	571.3	HO13	208.94171508664	0.052715086639977926	HO13	frag_5		
369.1426	47.1	C17H23NO8	369.14236670228	0.0002332977200012465	C17H23NO8	frag_6		
540.1805	79.1	C32H28O8	540.178417859	0.002082141000073534	C32H28O8	frag_7		
600.2094	704.8	C30H34NO12	600.20810053509	0.0012994649099482558	C30H34NO12	frag_8		
642.2155	1589.2	C29H38O16	642.21598513786	0.00048513785998238745	C29H38O16	frag_9		
644.2326	187.5	C29H40O16	644.23163520232	0.0009647976800124525	C29H40O16	frag_10		
660.2261	1827.2	C32H38NO14	660.22922990315	0.0031299031500111596	C32H38NO14	frag_11		
661.2298	641.1	C32H39NO14	661.23705493538	0.007254935380046845	C32H39NO14	frag_12		
662.2383	202.5	C32H40NO14	662.24487996761	0.006579967610036874	C32H40NO14	frag_13		
684.2291	514.6	C34H38NO14	684.22922990315	0.00012990314996841335	C34H38NO14	frag_14		
685.2358	206.0	C34H39NO14	685.23705493538	0.0012549353799613527	C34H39NO14	frag_15		
690.2386	184.0	C33H40NO15	690.23979458718	0.0011945871799525776	C33H40NO15	frag_16		
691.2403	86.9	C33H41NO15	691.24761961941	0.0073196194099409695	C33H41NO15	frag_17		
692.2423	65.1	C33H40O16	692.23163520232	0.010664797679964977	C33H40O16	frag_18		
702.2391	31699.1	C34H40NO15	702.23979458718	0.000694587179964401	C34H40NO15	frag_19		
703.0349	119.5	C34H25NO16	703.1173337233	0.08243372330002785	C34H25NO16	frag_20		
703.2383	12549.0	C34H41NO15	703.24761961941	0.009319619410007363	C34H41NO15	frag_21		
704.0313	253.8	C34H26NO16	704.12515875553	0.09385875553005008	C34H26NO16	frag_22		
704.247	3697.1	C34H42NO15	704.25544465164	0.008444651640047596	C34H42NO15	frag_23		
705.0657	143.4	C34H27NO16	705.1329837877599	0.0672837877599477	C34H27NO16	frag_24		
705.2436	1037.9	C34H41O16	705.23946023455	0.004139765449963306	C34H41O16	frag_25		
706.1495	218.9	C34H28NO16	706.1408088199901	0.008691180009918753	C34H28NO16	frag_26		
706.2559	265.5	C34H42O16	706.24728526678	0.00861473322004258	C34H42O16	frag_27		
707.0789	114.6	C34H29NO16	707.14863385222	0.06973385221999706	C34H29NO16	frag_28		
707.3091	118.1	C33H41NO16	707.2425342389799	0.06656576102000145	C33H41NO16	frag_29		
707.3388	117.3	C33H41NO16	707.2425342389799	0.09626576102004947	C33H41NO16	frag_30		
708.3161	64.5	C33H42NO16	708.2503592712101	0.0657407287899332	C33H42NO16	frag_31		
708.3373	64.5	C33H42NO16	708.2503592712101	0.08694072878995485	C33H42NO16	frag_32		
448.1459	431.6				C18H26NO12	loss_0	frag_8	frag_0
490.15200000000004	873.8				C17H30O16	loss_1	frag_9	frag_0
492.16910000000007	172.95				C17H32O16	loss_2	frag_10	frag_0
508.1626	992.8				C20H30NO14	loss_3	frag_11	frag_0
509.1663	399.75				C20H31NO14	loss_4	frag_12	frag_0
510.1748	180.45				C20H32NO14	loss_5	frag_13	frag_0
532.1656	336.5				C22H30NO14	loss_6	frag_14	frag_0
533.1723000000001	182.2				C22H31NO14	loss_7	frag_15	frag_0
538.1751	171.2				C21H32NO15	loss_8	frag_16	frag_0
550.1756	15928.75				C22H32NO15	loss_9	frag_19	frag_0
551.1748	6353.7				C22H33NO15	loss_10	frag_21	frag_0
551.9678	206.1				C22H18NO16	loss_11	frag_22	frag_0
552.1835	1927.75				C22H34NO15	loss_12	frag_23	frag_0
553.1801	598.15				C22H33O16	loss_13	frag_25	frag_0
554.086	188.65				C22H20NO16	loss_14	frag_26	frag_0
554.1924	211.95				C22H34O16	loss_15	frag_27	frag_0
525.8285	1874.5				C24NO14	loss_16	frag_23	frag_1
527.8374	158.7				C24O15	loss_17	frag_27	frag_1
529.8976	58.2				C23NO15	loss_18	frag_31	frag_1
529.9188	58.2				C23NO15	loss_19	frag_32	frag_1
487.8661000000001	66.05				C22O14	loss_20	frag_17	frag_2
499.8641	6297.1				C23O14	loss_21	frag_21	frag_2
500.8728	1871.15				C23HO14	loss_22	frag_23	frag_2
503.93489999999997	81.65				C22O15	loss_23	frag_29	frag_2
503.9646	81.25				C22O15	loss_24	frag_30	frag_2
504.94190000000003	54.85				C22HO15	loss_25	frag_31	frag_2
504.96310000000005	54.85				C22HO15	loss_26	frag_32	frag_2
495.15229999999997	25978.6				C26H25NO9	loss_27	frag_19	frag_4
433.3265	1080.25				C29H37O3	loss_28	frag_9	frag_5
451.33709999999996	1199.25				C32H37NO	loss_29	frag_11	frag_5
452.34079999999994	606.2				C32H38NO	loss_30	frag_12	frag_5
