mz	intensity	rcdk_assignment_top	rcdk_top_mass	rcdk_all_outputs	formula	index	from_index	to_index
53.00219	31.72	C3HO	53.0027396518	0.000549651800000106	C3HO	frag_0		
56.04948	0.76	C3H6N	56.050024197810004	0.0005441978100009237	C3H6N	frag_1		
70.06513	1.465	C4H8N	70.06567426227	0.0005442622699973754	C4H8N	frag_2		
71.01276	11.0525	C3H3O2	71.01330433583	0.000544335829999909	C3H3O2	frag_3		
78.03383	2.43	C5H4N	78.03437413335	0.000544133350004472	C5H4N	frag_4		
80.04948	1.85	C5H6N	80.05002419781	0.0005441978100009237	C5H6N	frag_5		
91.05423	12.36	C7H7	91.05477522561	0.0005452256099971464	C7H7	frag_6		
92.06205	2.51	C7H8	92.06260025784	0.0005502578400040647	C7H8	frag_7		
94.06513	6.02	C6H8N	94.06567426227	0.0005442622699973754	C6H8N	frag_8		
96.04439	15.625	C5H6NO	96.04493881738	0.0005488173799932383	C5H6NO	frag_9		
98.06004	1.03	C5H8NO	98.06058888184	0.0005488818400039008	C5H8NO	frag_10		
99.00767	33.204	C4H3O3	99.0082189554	0.0005489553999922236	C4H3O3	frag_11		
104.04948	5.115	C7H6N	104.05002419781	0.0005441978100009237	C7H6N	frag_12		
117.0573	4.725	C8H7N	117.05784923004	0.000549230040007842	C8H7N	frag_13		
118.06513	40.4275	C8H8N	118.06567426227	0.0005442622699973754	C8H8N	frag_14		
119.07295	25.004	C8H9N	119.0734992945	0.0005492944999900828	C8H9N	frag_15		
122.06004	71.6416666666667	C7H8NO	122.06058888184	0.0005488818400039008	C7H8NO	frag_16		
138.0105	4.48	C10H2O	138.01056468403	6.468402997938938e-05	C10H2O	frag_17		
140.07061	14.5566666666667	C7H10NO2	140.07115356587	0.0005435658700037038	C7H10NO2	frag_18		
142.04987	4.5425	C6H8NO3	142.05041812098	0.0005481209799995668	C6H8NO3	frag_19		
150.05496	9.1925	C8H8NO2	150.05550350141	0.0005435014099930413	C8H8NO2	frag_20		
154.0418	56.494	C11H6O	154.04186481295	6.481295000071441e-05	C11H6O	frag_21		
161.10733	2.77	C10H13N2	161.10787342785	0.0005434278500047185	C10H13N2	frag_22		
168.06552	31.1275	C8H10NO3	168.06606818544	0.0005481854400102293	C8H10NO3	frag_23		
195.06835	3.89	C13H9NO	195.06841391407	6.391406998318416e-05	C13H9NO	frag_24		
197.084	17.315	C13H11NO	197.08406397853	6.397852999384668e-05	C13H11NO	frag_25		
252.0422	69.9025	C12H11ClNO3	252.04274589967	0.0005458996699871932	C12H11ClNO3	frag_26		
46.005480000000006	32.462				CH2O2	loss_0	frag_11	frag_0
69.05785	51.68083				C4H7N	loss_1	frag_16	frag_0
101.03961	44.107				C8H5	loss_2	frag_21	frag_0
199.04001	50.81125				C9H10ClNO2	loss_3	frag_26	frag_0
14.015649999999994	1.1125				CH2	loss_4	frag_2	frag_1
24.0	1.305				C2	loss_5	frag_5	frag_1
38.015649999999994	3.39				C3H2	loss_6	frag_8	frag_1
39.994910000000004	8.1925				C2O	loss_7	frag_9	frag_1
42.01056	0.895				C2H2O	loss_8	frag_10	frag_1
48.0	2.9375				C4	loss_9	frag_12	frag_1
61.007819999999995	2.7425				C5H	loss_10	frag_13	frag_1
62.015649999999994	20.59375				C5H2	loss_11	frag_14	frag_1
63.02347	12.882				C5H3	loss_12	frag_15	frag_1
66.01056	36.20083				C4H2O	loss_13	frag_16	frag_1
84.02112999999999	7.65833				C4H4O2	loss_14	frag_18	frag_1
86.00039	2.65125				C3H2O3	loss_15	frag_19	frag_1
94.00547999999999	4.97625				C5H2O2	loss_16	frag_20	frag_1
105.05784999999999	1.765				C7H7N	loss_17	frag_22	frag_1
112.01603999999999	15.94375				C5H4O3	loss_18	frag_23	frag_1
139.01887	2.325				C10H3O	loss_19	frag_24	frag_1
141.03452	9.0375				C10H5O	loss_20	frag_25	frag_1
195.99272000000002	35.33125				C9H5ClO3	loss_21	frag_26	frag_1
24.0	3.7425				C2	loss_22	frag_8	frag_2
48.0	20.94625				C4	loss_23	frag_14	frag_2
49.00782000000001	13.2345				C4H	loss_24	frag_15	frag_2
51.994910000000004	36.55333				C3O	loss_25	frag_16	frag_2
70.00547999999999	8.01083				C3H2O2	loss_26	frag_18	frag_2
71.98474	3.00375				C2O3	loss_27	frag_19	frag_2
79.98983	5.32875				C4O2	loss_28	frag_20	frag_2
91.0422	2.1175				C6H5N	loss_29	frag_22	frag_2
98.00039	16.29625				C4H2O3	loss_30	frag_23	frag_2
125.00322000000001	2.6775				C9HO	loss_31	frag_24	frag_2
127.01887	9.39				C9H3O	loss_32	frag_25	frag_2
181.97707000000003	35.68375				C8H3ClO3	loss_33	frag_26	frag_2
27.994910000000004	22.12825				CO	loss_34	frag_11	frag_3
69.05784999999999	12.80458				C4H7N	loss_35	frag_18	frag_3
97.05275999999999	21.09				C5H7NO	loss_36	frag_23	frag_3
181.02944000000002	40.4775				C9H8ClNO	loss_37	frag_26	frag_3
16.0313	4.225				CH4	loss_38	frag_8	frag_4
18.010560000000012	9.0275				H2O	loss_39	frag_9	frag_4
26.015650000000008	3.7725				C2H2	loss_40	frag_12	frag_4
