mz	intensity	rcdk_assignment_top	rcdk_top_mass	rcdk_all_outputs	formula	index	from_index	to_index
30.03383	24.43	CH4N	30.03437413335	0.0005441333500009193	CH4N	frag_0		
39.02293	29.15	C3H3	39.02347509669	0.0005450966899971377	C3H3	frag_1		
42.03383	2.57	C2H4N	42.03437413335	0.0005441333499973666	C2H4N	frag_2		
45.0573	42.97	C2H7N	45.05784923004	0.0005492300400007366	C2H7N	frag_3		
53.03858	2.72	C4H5	53.03912516115	0.0005451611499935893	C4H5	frag_4		
61.00728	0.23	C5H	61.00782503223	0.000545032230000686	C5H	frag_5		
65.03858	66.86	C5H5	65.03912516115	0.0005451611500006948	C5H5	frag_6		
66.03383	1.53	C4H4N	66.03437413335	0.000544133350004472	C4H4N	frag_7		
68.04948	0.29	C4H6N	68.05002419781	0.0005441978100009237	C4H6N	frag_8		
79.04165	0.51	C5H5N	79.04219916558	0.0005491655799971795	C5H5N	frag_9		
80.04948	4.18	C5H6N	80.05002419781	0.0005441978100009237	C5H6N	frag_10		
92.01309	50.95	C5H2NO	92.01363868845999	0.0005486884599861241	C5H2NO	frag_11		
92.04948	55.855	C6H6N	92.05002419781	0.0005441978100009237	C6H6N	frag_12		
97.05222	0.44	C5H7NO	97.05276384961	0.0005438496099969825	C5H7NO	frag_13		
106.02874	0.31	C6H4NO	106.02928875292	0.0005487529199967867	C6H4NO	frag_14		
108.04439	23.71	C6H6NO	108.04493881738	0.0005488173799932383	C6H6NO	frag_15		
110.02366	100.0	C5H4NO2	110.02420337249	0.000543372490000138	C5H4NO2	frag_16		
110.06004	52.2166666666667	C6H8NO	110.06058888184	0.0005488818400039008	C6H8NO	frag_17		
156.01138	5.8	C6H6NO2S	156.01192461135	0.000544611349994284	C6H6NO2S	frag_18		
15.02347	33.7				CH3	loss_0	frag_3	frag_0
62.01565000000001	40.1425				C5H2	loss_1	frag_12	frag_0
79.98983000000001	62.215				C4O2	loss_2	frag_16	frag_0
80.02621	38.32333				C5H4O	loss_3	frag_17	frag_0
26.015649999999994	48.005				C2H2	loss_4	frag_6	frag_1
53.02655	42.5025				C3H3N	loss_5	frag_12	frag_1
71.00073	64.575				C2HNO2	loss_6	frag_16	frag_1
71.03711	40.68333				C3H5NO	loss_7	frag_17	frag_1
3.023469999999996	22.77				H3	loss_8	frag_3	frag_2
38.01565	3.375				C3H2	loss_9	frag_10	frag_2
50.01565	29.2125				C4H2	loss_10	frag_12	frag_2
66.01056	13.14				C4H2O	loss_11	frag_15	frag_2
67.98983000000001	51.285				C3O2	loss_12	frag_16	frag_2
68.02620999999999	27.39333				C4H4O	loss_13	frag_17	frag_2
113.97755000000001	4.185				C4H2O2S	loss_14	frag_18	frag_2
65.00274	47.59333				C4HO	loss_15	frag_17	frag_3
11.999999999999993	34.79				C	loss_16	frag_6	frag_4
27.0109	3.45				CHN	loss_17	frag_10	frag_4
39.0109	29.2875				C2HN	loss_18	frag_12	frag_4
55.005810000000004	13.215				C2HNO	loss_19	frag_15	frag_4
57.02146	27.46833				C2H3NO	loss_20	frag_17	frag_4
102.9728	4.26				C2HNO2S	loss_21	frag_18	frag_4
4.0312999999999946	33.545				H4	loss_22	frag_6	frag_5
18.034370000000003	0.37				H4N	loss_23	frag_9	frag_5
19.0422	2.205				H5N	loss_24	frag_10	frag_5
31.005810000000004	25.59				HNO	loss_25	frag_11	frag_5
31.0422	28.0425				CH5N	loss_26	frag_12	frag_5
36.044940000000004	0.335				H6NO	loss_27	frag_13	frag_5
45.02146	0.27				CH3NO	loss_28	frag_14	frag_5
47.037110000000006	11.97				CH5NO	loss_29	frag_15	frag_5
49.016380000000005	50.115				H3NO2	loss_30	frag_16	frag_5
49.05276	26.22333				CH7NO	loss_31	frag_17	frag_5
95.0041	3.015				CH5NO2S	loss_32	frag_18	frag_5
14.015650000000008	2.855				CH2	loss_33	frag_10	frag_7
26.015650000000008	28.6925				C2H2	loss_34	frag_12	frag_7
42.01056000000001	12.62				C2H2O	loss_35	frag_15	frag_7
43.98983000000001	50.765				CO2	loss_36	frag_16	frag_7
44.026210000000006	26.87333				C2H4O	loss_37	frag_17	frag_7
89.97755000000001	3.665				C2H2O2S	loss_38	frag_18	frag_7
12.0	2.235				C	loss_39	frag_10	frag_8
24.0	28.0725				C2	loss_40	frag_12	frag_8
29.002740000000003	0.365				CHO	loss_41	frag_13	frag_8
39.994910000000004	12.0				C2O	loss_42	frag_15	frag_8
42.01056	26.25333				C2H2O	loss_43	frag_17	frag_8
87.9619	3.045				C2O2S	loss_44	frag_18	frag_8
1.0078299999999984	2.345				H	loss_45	frag_10	frag_9
13.007829999999998	28.1825				CH	loss_46	frag_12	frag_9
29.002740000000003	12.11				CHO	loss_47	frag_15	frag_9
31.018389999999997	26.36333				CH3O	loss_48	frag_17	frag_9
76.96973	3.155				CHO2S	loss_49	frag_18	frag_9
12.0	30.0175				C	loss_50	frag_12	frag_10
27.994910000000004	13.945				CO	loss_51	frag_15	frag_10
30.010559999999998	28.19833				CH2O	loss_52	frag_17	frag_10
75.9619	4.99				CO2S	loss_53	frag_18	frag_10
18.01057	75.475				H2O	loss_54	frag_16	frag_11
18.046949999999995	51.58333				CH6	loss_55	frag_17	frag_11
13.007819999999995	26.32833				CH	loss_56	frag_17	frag_13
2.015650000000008	12.01				H2	loss_57	frag_15	frag_14
4.031300000000002	26.26333				H4	loss_58	frag_17	frag_14
49.98264	3.055				H2OS	loss_59	frag_18	frag_14
2.0156499999999937	37.96333				H2	loss_60	frag_17	frag_15
