mz	intensity	rcdk_assignment_top	rcdk_top_mass	rcdk_all_outputs	formula	index	from_index	to_index
57.06988	5.76	C4H9	57.07042529007	0.0005452900700007035	C4H9	frag_0		
61.00728	13.06	C5H	61.00782503223	0.000545032230000686	C5H	frag_1		
69.03349	1.09	C4H5O	69.03403978072001	0.0005497807200072202	C4H5O	frag_2		
69.06988	9.24	C5H9	69.07042529007	0.0005452900700078089	C5H9	frag_3		
81.06988	9.88	C6H9	81.07042529007	0.0005452900700078089	C6H9	frag_4		
83.08553	6.39	C6H11	83.08607535453	0.0005453545299900497	C6H11	frag_5		
85.02841	3.53666666666667	C4H5O2	85.02895440029	0.0005444002900105716	C4H5O2	frag_6		
89.05971	5.575	C4H9O2	89.06025452921	0.0005445292100034749	C4H9O2	frag_7		
91.05423	12.9766666666667	C7H7	91.05477522561	0.0005452256099971464	C7H7	frag_8		
95.08553	10.8	C7H11	95.08607535453	0.0005453545299900497	C7H11	frag_9		
105.03349	1.405	C7H5O	105.03403978072001	0.0005497807200072202	C7H5O	frag_10		
105.06988	1.1	C8H9	105.07042529007	0.0005452900700078089	C8H9	frag_11		
109.10118	11.21	C8H13	109.10172541899	0.0005454189900007123	C8H13	frag_12		
121.06479	1.985	C8H9O	121.06533990964	0.0005499096400001235	C8H9O	frag_13		
128.96659	18.5	HO8	128.96714198879	0.0005519887899936293	HO8	frag_14		
130.98224	25.265	H3O8	130.98279205325	0.0005520532500042918	H3O8	frag_15		
131.04914	27.14	C9H7O	131.04968984518	0.0005498451800178827	C9H7O	frag_16		
133.08592	1.31	C6H13O3	133.08646927770002	0.0005492777000313254	C6H13O3	frag_17		
137.05971	1.33	C8H9O2	137.06025452921	0.0005445292100034749	C8H9O2	frag_18		
147.08044	4.76	C10H11O	147.0809899741	0.0005499740999823644	C10H11O	frag_19		
149.05971	16.67	C9H9O2	149.06025452921	0.0005445292100034749	C9H9O2	frag_20		
155.07027	6.11	C8H11O3	155.07081921324	0.0005492132399922411	C8H11O3	frag_21		
159.04406	25.17	C10H7O2	159.04460446475	0.0005444647499928124	C10H7O2	frag_22		
161.05971	8.41	C10H9O2	161.06025452921	0.0005445292100034749	C10H9O2	frag_23		
165.09101	6.41	C10H13O2	165.09155465813	0.0005446581299963782	C10H13O2	frag_24		
173.08084	6.42	C8H13O4	173.08138389727	0.000543897270006255	C8H13O4	frag_25		
177.05462	6.87	C10H9O3	177.05516914878	0.0005491487800100003	C10H9O3	frag_26		
298.1047	7.04	C14H18O7	298.10525291713	0.0005529171299940572	C14H18O7	frag_27		
316.11527	8.1	C14H20O8	316.11581760116	0.000547601160008071	C14H20O8	frag_28		
12.0	7.5				C	loss_0	frag_3	frag_0
24.0	7.82				C2	loss_1	frag_4	frag_0
26.015650000000008	6.075				C2H2	loss_2	frag_5	frag_0
38.01565000000001	8.28				C3H2	loss_3	frag_9	frag_0
52.0313	8.485				C4H4	loss_4	frag_12	frag_0
91.98983	11.215				C5O2	loss_5	frag_20	frag_0
98.00039	5.935				C4H2O3	loss_6	frag_21	frag_0
103.98983	7.085				C6O2	loss_7	frag_23	frag_0
108.02113000000001	6.085				C6H4O2	loss_8	frag_24	frag_0
116.01096	6.09				C4H4O4	loss_9	frag_25	frag_0
119.98474	6.315				C6O3	loss_10	frag_26	frag_0
241.03481999999997	6.4				C10H9O7	loss_11	frag_27	frag_0
259.04539	6.93				C10H11O8	loss_12	frag_28	frag_0
70.04185999999999	20.1				C4H6O	loss_13	frag_16	frag_1
88.05242999999999	14.865				C4H8O2	loss_14	frag_20	frag_1
98.03678	19.115				C5H6O2	loss_15	frag_22	frag_1
15.994919999999993	2.31333				O	loss_16	frag_6	frag_2
20.026219999999995	3.3325				H4O	loss_17	frag_7	frag_2
36.0	1.2475				C3	loss_18	frag_10	frag_2
52.0313	1.5375				C4H4	loss_19	frag_13	frag_2
62.015649999999994	14.115				C5H2	loss_20	frag_16	frag_2
64.05242999999999	1.2				C2H8O2	loss_21	frag_17	frag_2
68.02622	1.21				C4H4O	loss_22	frag_18	frag_2
78.04695000000001	2.925				C6H6	loss_23	frag_19	frag_2
80.02622	8.88				C5H4O	loss_24	frag_20	frag_2
86.03678	3.6				C4H6O2	loss_25	frag_21	frag_2
90.01057	13.13				C6H2O	loss_26	frag_22	frag_2
92.02622	4.75				C6H4O	loss_27	frag_23	frag_2
96.05752000000001	3.75				C6H8O	loss_28	frag_24	frag_2
104.04735	3.755				C4H8O3	loss_29	frag_25	frag_2
108.02113	3.98				C6H4O2	loss_30	frag_26	frag_2
229.07120999999998	4.065				C10H13O6	loss_31	frag_27	frag_2
247.08178	4.595				C10H15O7	loss_32	frag_28	frag_2
12.0	9.56				C	loss_33	frag_4	frag_3
26.015650000000008	10.02				C2H2	loss_34	frag_9	frag_3
40.0313	10.225				C3H4	loss_35	frag_12	frag_3
79.98983	12.955				C4O2	loss_36	frag_20	frag_3
14.015650000000008	10.34				CH2	loss_37	frag_9	frag_4
28.0313	10.545				C2H4	loss_38	frag_12	frag_4
67.98983	13.275				C3O2	loss_39	frag_20	frag_4
12.0	8.595				C	loss_40	frag_9	frag_5
26.015649999999994	8.8				C2H2	loss_41	frag_12	frag_5
82.00548	6.4				C4H2O2	loss_42	frag_24	frag_5
89.99530999999999	6.405				C2H2O4	loss_43	frag_25	frag_5
215.01916999999997	6.715				C8H7O7	loss_44	frag_27	frag_5
233.02974	7.245				C8H9O8	loss_45	frag_28	frag_5
4.031300000000002	4.55583				H4	loss_46	frag_7	frag_6
64.0313	10.10333				C5H4	loss_47	frag_20	frag_6
70.04186	4.82333				C4H6O	loss_48	frag_21	frag_6
74.01565000000001	14.35333				C6H2	loss_49	frag_22	frag_6
76.0313	5.97333				C6H4	loss_50	frag_23	frag_6
80.06260000000002	4.97333				C6H8	loss_51	frag_24	frag_6
88.05243	4.97833				C4H8O2	loss_52	frag_25	frag_6
92.02621	5.20333				C6H4O	loss_53	frag_26	frag_6
213.07628999999997	5.28833				C10H13O5	loss_54	frag_27	frag_6
231.08686	5.81833				C10H15O6	loss_55	frag_28	frag_6
60.0	11.1225				C5	loss_56	frag_20	frag_7
66.01056	5.8425				C4H2O	loss_57	frag_21	frag_7
72.0	6.9925				C6	loss_58	frag_23	frag_7
76.03130000000002	5.9925				C6H4	loss_59	frag_24	frag_7
84.02113	5.9975				C4H4O2	loss_60	frag_25	frag_7
87.99491	6.2225				C6O	loss_61	frag_26	frag_7
209.04498999999998	6.3075				C10H9O5	loss_62	frag_27	frag_7
227.05556	6.8375				C10H11O6	loss_63	frag_28	frag_7
39.99490999999999	20.05833				C2O	loss_64	frag_16	frag_8
58.00547999999999	14.82333				C2H2O2	loss_65	frag_20	frag_8
67.98983	19.07333				C3O2	loss_66	frag_22	frag_8
14.015649999999994	11.005				CH2	loss_67	frag_12	frag_9
16.0313	1.695				CH4	loss_68	frag_13	frag_10
26.015649999999994	14.2725				C2H2	loss_69	frag_16	frag_10
42.04695000000001	3.0825				C3H6	loss_70	frag_19	frag_10
44.026219999999995	9.0375				C2H4O	loss_71	frag_20	frag_10
50.03677999999999	3.7575				CH6O2	loss_72	frag_21	frag_10
54.01057	13.2875				C3H2O	loss_73	frag_22	frag_10
56.026219999999995	4.9075				C3H4O	loss_74	frag_23	frag_10
60.05752000000001	3.9075				C3H8O	loss_75	frag_24	frag_10
68.04735	3.9125				CH8O3	loss_76	frag_25	frag_10
72.02113	4.1375				C3H4O2	loss_77	frag_26	frag_10
193.07120999999998	4.2225				C7H13O6	loss_78	frag_27	frag_10
211.08178	4.7525				C7H15O7	loss_79	frag_28	frag_10
